Regisoft Contabilidad y Gestión;;;;;;;;;;;;Pág. 1 / 1;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EPL CONSULTORES SRL, Av. Dr. Honorio Pueyrredon 328 - Dto:8, 1405 CABA, Capital.  Responsable Inscripto 30-71193999-3;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Libro Mayor;;;;;;;;;;;;;;
Desde  01/01/2026  hasta  31/12/2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01.01.01.01 - CAJA (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      439);;;12/03/26;Beneficios al personal;;;;;1.000.000,00;;-20.383.788,81;;;
      441);;;13/03/26;Cobros: s/ Rec. Nº200010032 - FATERYH;;;10.323.145,61;;;;-10.060.643,20;;;
      442);;;13/03/26;Cobros: s/ Rec. Nº200010033 - OSPERYHRA;;;571.640,34;;;;-9.489.002,86;;;
      449);;;16/03/26;(Pascale) Beneficio Soledad Pascale;;;;;119.242,36;;-9.608.245,22;;;
      450);;;16/03/26;Pagos: s/ O.Pago Nº6166 - BANCO SANTANDER RIO SA;;;;;387.674,19;;-9.995.919,41;;;
      451);;;16/03/26;Pago Prestamo 0197-39100828171 Cuota 12;;;;;703.647,29;;-10.699.566,70;;;
      454);;;18/03/26;Pagos: s/ O.Pago Nº6141 - MORABITO FEDERICO JAVIER;;;;;238.200,00;;-10.937.766,70;;;
      455);;;18/03/26;Pagos: s/ O.Pago Nº6142 - MINDER S A;;;;;57.904,96;;-10.995.671,66;;;
      456);;;18/03/26;Cobros: s/ Rec. Nº200010034 - OSPILM;;;6.984.999,09;;;;-4.010.672,57;;;
      457);;;18/03/26;Cobros: s/ Rec. Nº200010035 - OSLERA;;;191.257,07;;;;-3.819.415,50;;;
      458);;;18/03/26;Cobros: s/ Rec. Nº200010036 - SUTERH;;;2.173.010,98;;;;-1.646.404,52;;;
      459);;;19/03/26;Pagos: s/ O.Pago Nº6143 - FABIOLA LANDIN;;;;;726.000,00;;-2.372.404,52;;;
      460);;;19/03/26;Pagos: s/ O.Pago Nº6144 - NUBI S.A.;;;;;45.518,23;;-2.417.922,75;;;
      461);;;19/03/26;Pagos: s/ O.Pago Nº6145 - ARQUETIPONET S.R.L.;;;;;270.459,20;;-2.688.381,95;;;
      462);;;19/03/26;Transfrencia entre cuentas;;;;;1.575.000,00;;-4.263.381,95;;;
      463);;;19/03/26;Pagos: s/ O.Pago Nº6156 - YOMHA GALILEO;;;;;5.000.000,00;;-9.263.381,95;;;
      464);;;19/03/26;Pagos: s/ O.Pago Nº6170 - YOMHA GALILEO;;;;;2.000.000,00;;-11.263.381,95;;;
      466);;;20/03/26;Gastos y Comisiones Bancarias-Santander;;;;;2.525.427,07;;-13.788.809,02;;;
      467);;;20/03/26;Cobros: s/ Rec. Nº200010037 - APDIS;;;974.740,06;;;;-12.814.068,96;;;
      468);;;20/03/26;Cobros: s/ Rec. Nº200010039 - FATERYH;;;10.836.985,15;;;;-1.977.083,81;;;
      469);;;20/03/26;Cobros: s/ Rec. Nº200010038 - GEA S.A.;;;1.437.081,34;;;;-540.002,47;;;
      470);;;24/03/26;Pagos: s/ O.Pago Nº6177 - LUCAS LEONARDO EIROS;;;;;1.000.000,00;;-1.540.002,47;;;
      471);;;25/03/26;Pagos: s/ O.Pago Nº6157 - RODRIGUEZ PILAR;;;;;1.961.610,00;;-3.501.612,47;;;
      472);;;25/03/26;Pagos: s/ O.Pago Nº6158 - MERCEDES FRATTINI;;;;;2.547.986,80;;-6.049.599,27;;;
      473);;;25/03/26;Pagos: s/ O.Pago Nº6159 - ANDREACCHIO RODOLFO;;;;;900.000,00;;-6.949.599,27;;;
      474);;;25/03/26;Pagos: s/ O.Pago Nº6160 - SACCOL EMILIANO;;;;;548.704,75;;-7.498.304,02;;;
      475);;;25/03/26;Pagos: s/ O.Pago Nº6161 - DAURAT MERCEDES MARIA;;;;;6.050.000,00;;-13.548.304,02;;;
      476);;;25/03/26;Transfrencia entre cuentas Santander a Banco Ciudad;;;;;3.160.000,00;;-16.708.304,02;;;
      477);;;25/03/26;Transfrencia entre cuentas Santander a Banco Macro;;;;;1.700.000,00;;-18.408.304,02;;;
      478);;;25/03/26;Transfrencia entre cuentas Santander a Banco Galicia;;;;;115.000,00;;-18.523.304,02;;;
      479);;;25/03/26;Beneficios al personal;;;;;201.409,34;;-18.724.713,36;;;
      481);;;25/03/26;Retiro Efectivo Cheque 1327 y 1328;;;;;1.000.000,00;;-19.724.713,36;;;
      486);;;26/03/26;Cobros: s/ Rec. Nº200010040 - OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELL;;;6.455.350,00;;;;-13.269.363,36;;;
      489);;;26/03/26;Pagos: s/ O.Pago Nº6167 - DINAMICA COMERCIAL  SRL;;;;;19.000,00;;-13.288.363,36;;;
      490);;;27/03/26;Cobros: s/ Rec. Nº200010041 - SUTERH;;;2.173.010,99;;;;-11.115.352,37;;;
      495);;;30/03/26;Pagos: s/ O.Pago Nº6164 - BANCO SANTANDER RIO SA;;;;;258.485,24;;-11.373.837,61;;;
      496);;;30/03/26;Pagos: s/ O.Pago Nº6165 - BANCO SANTANDER RIO SA;;;;;62.453,29;;-11.436.290,90;;;
      497);;;30/03/26;Pago Prestamo 0197-39100730317 Cuota 22;;;;;2.267.554,95;;-13.703.845,85;;;
      498);;;30/03/26;Pago Total Prestamo 0197-39100721104 Cuota 23 y 24;;;;;1.761.109,52;;-15.464.955,37;;;
      499);;;30/03/26;Aporte Gonzalo Eiros;;;2.000.000,00;;;;-13.464.955,37;;;
      501);;;31/03/26;Gastos y Comisiones Bancarias-Santander;;;;;615.154,06;;-14.080.109,43;;;
      502);;;31/03/26;Pago de Haberes 50% Marzo;;;;;9.122.305,50;;-23.202.414,93;;;
      519);;;31/03/26;Pagos: s/ O.Pago Nº6254 - YOMHA FRANCO;;;;;3.300.000,00;;-26.502.414,93;;;
      520);;;31/03/26;Insumos de Libreria;;;;;34.492,80;;-26.536.907,73;;;
      525);;;31/03/26;Reclasificacion de cuentas de impuestos;;;2.266.221,72;;;;-24.270.686,01;;;
      571);;;01/04/26;Cobros: s/ Rec. Nº200010042 - OSPERYH;;;20.408.703,84;;;;-3.861.982,17;;;
      587);;;06/04/26;Cobros: s/ Rec. Nº200010043 - O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;;;3.548.324,61;;;;-313.657,56;;;
      591);;;06/04/26;Pago Prestamo Santander 39100897649 - Cuota 6;;;;;613.888,89;;-927.546,45;;;
      593);;;06/04/26;Pagos: s/ O.Pago Nº6237 - BANCO SANTANDER RIO SA;;;;;1.106.514,72;;-2.034.061,17;;;
      594);;;06/04/26;Aporte Socios Lucas Eiros y Gonzalo Eiros;;;20.000.000,00;;;;17.965.938,83;;;
      595);;;06/04/26;Pago Tarjeta de Credito Visa;;;;;3.339.420,00;;14.626.518,83;;;
      597);;;07/04/26;Pagos: s/ O.Pago Nº6178 - LUCAS LEONARDO EIROS;;;;;5.000.000,00;;9.626.518,83;;;
      599);;;07/04/26;Pagos: s/ O.Pago Nº6180 - MORABITO FEDERICO JAVIER;;;;;238.200,00;;9.388.318,83;;;
      600);;;08/04/26;Cobros: s/ Rec. Nº200010044 - OSPERYHRA;;;3.072.146,55;;;;12.460.465,38;;;
      603);;;08/04/26;Transfrencias entre cuentas - Santander a Frances;;;;;2.950.000,00;;9.510.465,38;;;
      604);;;08/04/26;Pago de Haberes Marzo Saldo;;;;;9.368.740,00;;141.725,38;;;
      607);;;09/04/26;Pagos: s/ O.Pago Nº6197 - TELEFONICA MOVILES ARGENT;;;;;194.518,32;;-52.792,94;;;
      608);;;09/04/26;Pago Prestamo Santander 39100866063 - Cuota 10;;;;;1.018.042,49;;-1.070.835,43;;;
      610);;;09/04/26;Pagos: s/ O.Pago Nº6238 - BANCO SANTANDER RIO SA;;;;;141.880,46;;-1.212.715,89;;;
      611);;;09/04/26;Pago Obra Social-SCVO 2026-02;;;;;2.536.970,51;;-3.749.686,40;;;
      612);;;09/04/26;Pago Obra Social-SCVO 2026-01;;;;;2.553.855,62;;-6.303.542,02;;;
      613);;;09/04/26;Pago Autonomos Socio Gerente;;;;;132.778,36;;-6.436.320,38;;;
      614);;;09/04/26;Pagos: s/ O.Pago Nº6195 - LUCIANO ORSI;;;;;2.808.503,00;;-9.244.823,38;;;
      615);;;09/04/26;Pagos: s/ O.Pago Nº6196 - CESAR AUGUSTO ARCARO MALITO;;;;;4.740.400,54;;-13.985.223,92;;;
      618);;;10/04/26;Cobros: s/ Rec. Nº200010045 - OSPERYH;;;48.270.684,49;;;;34.285.460,57;;;
      619);;;10/04/26;Gastos de Prepaga Swiss 2026/04;;;;;62.694,25;;34.222.766,32;;;
      622);;;13/04/26;Pago Tarjeta de Credito Visa;;;;;10.000.000,00;;24.222.766,32;;;
      623);;;14/04/26;Pagos: s/ O.Pago Nº6198 - MARIA SOLEDAD PASCALE;;;;;2.500.000,00;;21.722.766,32;;;
      625);;;14/04/26;Pago Prestamo Santander 39100828171 - Cuota 13;;;;;724.756,71;;20.998.009,61;;;
      627);;;14/04/26;Pagos: s/ O.Pago Nº6239 - BANCO SANTANDER RIO SA;;;;;362.256,33;;20.635.753,28;;;
      628);;;14/04/26;Beneficios al personal;;;;;1.000.000,00;;19.635.753,28;;;
      629);;;14/04/26;Pagos: s/ O.Pago Nº6199 - MATTIOLI SAMANTA GABRIELA SOLANGE;;;;;420.000,00;;19.215.753,28;;;
      633);;;15/04/26;Extraccion de efectivo;;;;;7.000.000,00;;12.215.753,28;;;
      636);;;16/04/26;(Pascale) Beneficio Soledad Pascale;;;;;119.242,36;;12.096.510,92;;;
      637);;;17/04/26;Transferencias entre cuentas - Santander a Brubank;;;;;1.550.000,00;;10.546.510,92;;;
      644);;;20/04/26;Cobros: s/ Rec. Nº200010052 - OS PRENSA ROSARIO;;;2.223.436,89;;;;12.769.947,81;;;
      652);;;22/04/26;Cobros: s/ Rec. Nº200010057 - MEDICAL SERVICIOS DE SALUD SRL;;;2.045.005,39;;;;14.814.953,20;;;
      660);;;23/04/26;Recupero parcial Aporte Socio Gonzalo Eiros;;;;;2.000.000,00;;12.814.953,20;;;
      669);;;27/04/26;Pagos: s/ O.Pago Nº6253 - YOMHA GALILEO;;;;;5.000.000,00;;7.814.953,20;;;
      673);;;28/04/26;Cobros: s/ Rec. Nº200010058 - ASSISTENCIAL SALUD S.A.;;;3.857.074,61;;;;11.672.027,81;;;
      680);;;28/04/26;Pago Prestamo Santander 39100730317 - Cuota 23;;;;;2.337.471,23;;9.334.556,58;;;
      682);;;28/04/26;Pagos: s/ O.Pago Nº6240 - BANCO SANTANDER RIO SA;;;;;171.695,62;;9.162.860,96;;;
      683);;;28/04/26;Pago ART Dic2025 y Mar2026;;;;;2.058.733,37;;7.104.127,59;;;
      684);;;28/04/26;Pago Obra Social-SCVO 2026-03;;;;;1.644.339,71;;5.459.787,88;;;
      689);;;30/04/26;Transferencias entre cuentas - Galciia a Santander;;;12.415.000,00;;;;17.874.787,88;;;
      701);;;30/04/26;Gastos Bancarios Santander;;;;;1.537.067,02;;16.337.720,86;;;
      702);;;30/04/26;Pago de Haberes 50% Abril;;;;;9.234.245,50;;7.103.475,36;;;
      703);;;30/04/26;Pagos: s/ O.Pago Nº6241 - BANCO SANTANDER RIO SA;;;;;1.019.780,36;;6.083.695,00;;;
      708);;;30/04/26;Pagos: s/ O.Pago Nº6249 - LUCAS LEONARDO EIROS;;;;;6.000.000,00;;83.695,00;;;
      709);;;30/04/26;Pagos: s/ O.Pago Nº6248 - SANTA FE COMERCIAL SOCIEDAD DE RESPONSAB;;;;;128.637,52;;-44.942,52;;;
      734);;;04/05/26;Movimientos Banco Santander;;;;;9.959.038,74;;-10.003.981,26;;;
      774);;;07/05/26;Cobros: s/ Rec. Nº200010066 - OSPERYH;;;2.535.714,48;;;;-7.468.266,78;;;
      775);;;07/05/26;Pago de Haberes 50% Abril - Saldo;;;;;9.354.993,50;;-16.823.260,28;;;
      780);;;08/05/26;Cobros: s/ Rec. Nº200010067 - OSPERYH;;;2.661.880,44;;;;-14.161.379,84;;;
      786);;;09/05/26;Deposito en Efectivo;;;100,00;;;;-14.161.279,84;;;
      792);;;11/05/26;Gastos de Prepaga;;;;;232.389,00;;-14.393.668,84;;;
      793);;;11/05/26;Pagos: s/ O.Pago Nº6267 - TELEFONICA MOVILES ARGENT;;;;;199.656,15;;-14.593.324,99;;;
      796);;;12/05/26;Cobros: s/ Rec. Nº200010065 - CAMPSIC;;;29.040,00;;;;-14.564.284,99;;;
      798);;;12/05/26;Gastos Bancarios Santander;;;;;114.884,13;;-14.679.169,12;;;
      808);;;18/05/26;Cobros: s/ Rec. Nº200010069 - O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;;;3.690.033,04;;;;-10.989.136,08;;;
;;;;;;;449.135.625,97;;460.124.762,05;;;;;
;;;;;;;;;;;;;;
01.01.01.05 - BANCO CIUDAD CTA CTE (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;;;88.028,82;;-88.028,82;;;
      42);;;02/01/26;Transfrencia entre cuentas;;;30.000,00;;;;-58.028,82;;;
      59);;;02/01/26;Pagos: s/ O.Pago Nº6259 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;2.899.156,50;;-2.957.185,32;;;
      60);;;02/01/26;Reversion Gastos Bancarios;;;2.899.156,50;;;;-58.028,82;;;
      111);;;16/01/26;Transfrencia entre cuentas;;;3.250.000,00;;;;3.191.971,18;;;
      118);;;16/01/26;Pago Prestamo Cuota 18;;;;;2.416.348,15;;775.623,03;;;
      119);;;16/01/26;Pagos: s/ O.Pago Nº6232 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;680.223,61;;95.399,42;;;
      131);;;19/01/26;Pagos: s/ O.Pago Nº6228 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;74.473,31;;20.926,11;;;
      160);;;23/01/26;Transfrencia entre cuentas;;;3.100.000,00;;;;3.120.926,11;;;
      165);;;23/01/26;Pago Prestamo Cuota 19;;;;;2.492.865,84;;628.060,27;;;
      166);;;23/01/26;Pagos: s/ O.Pago Nº6229 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;531.460,36;;96.599,91;;;
      199);;;31/01/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;;;107.132,23;;-10.532,32;;;
      345);;;28/02/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;;;69.080,63;;-79.612,95;;;
      404);;;06/03/26;Transfrencia entre cuentas;;;3.250.000,00;;;;3.170.387,05;;;
      413);;;06/03/26;Pago Prestamo Cuota 20;;;;;2.571.806,59;;598.580,46;;;
      414);;;06/03/26;Pagos: s/ O.Pago Nº6230 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;576.441,57;;22.138,89;;;
      476);;;25/03/26;Transfrencia entre cuentas Santander a Banco Ciudad;;;3.160.000,00;;;;3.182.138,89;;;
      483);;;25/03/26;Pago Prestamo Cuota 21;;;;;2.653.247,13;;528.891,76;;;
      485);;;25/03/26;Pagos: s/ O.Pago Nº6231 - BANCO DE LA CIUDAD DE BUENOS AIRES;;;;;434.346,73;;94.545,03;;;
      515);;;31/03/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;;;129.973,21;;-35.428,18;;;
      696);;;30/04/26;Gastos y Comisiones Bancarias-Banco Ciudad;;;;;68.446,17;;-103.874,35;;;
      735);;;04/05/26;Movimientos Banco Ciudad;;;;;1.524,45;;-105.398,80;;;
;;;;;;;15.689.156,50;;15.794.555,30;;;;;
;;;;;;;;;;;;;;
01.01.01.06 - BANCO SANTANDER RIO USD (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;504,65;;;;504,65;;;
;;;;;;;504,65;;0,00;;;;;
;;;;;;;;;;;;;;
01.01.01.09 - BANCO GALICIA CTA CTE (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;34.092,91;;;;34.092,91;;;
      203);;;31/01/26;Gastos Bancarios Banco Galicia;;;;;477,32;;33.615,59;;;
      204);;;31/01/26;Pagos: s/ O.Pago Nº6224 - BANCO GALICIA;;;;;72.243,39;;-38.627,80;;;
      256);;;06/02/26;Transfrencia entre cuentas;;;125.000,00;;;;86.372,20;;;
      348);;;28/02/26;Gastos Bancarios Banco Galicia;;;;;525,38;;85.846,82;;;
      349);;;28/02/26;Pagos: s/ O.Pago Nº6225 - BANCO GALICIA;;;;;81.177,17;;4.669,65;;;
      407);;;06/03/26;Transfrencia entre cuentas;;;85.000,00;;;;89.669,65;;;
      478);;;25/03/26;Transfrencia entre cuentas Santander a Banco Galicia;;;115.000,00;;;;204.669,65;;;
      513);;;31/03/26;Gastos Bancarios Banco Galicia;;;;;738,53;;203.931,12;;;
      514);;;31/03/26;Pagos: s/ O.Pago Nº6226 - BANCO GALICIA;;;;;120.688,56;;83.242,56;;;
      678);;;28/04/26;Transferencias entre cuentas - Frances a Galicia;;;21.650.000,00;;;;21.733.242,56;;;
      689);;;30/04/26;Transferencias entre cuentas - Galciia a Santander;;;;;12.415.000,00;;9.318.242,56;;;
      692);;;30/04/26;Gastos Bancarios Banco Galicia;;;;;480,29;;9.317.762,27;;;
      695);;;30/04/26;Pagos: s/ O.Pago Nº6227 - BANCO GALICIA;;;;;76.877,35;;9.240.884,92;;;
      737);;;04/05/26;Movimientos Banco Galicia;;;;;76.053,60;;9.164.831,32;;;
      797);;;12/05/26;Cierre de Cuenta Galicia-Decision Comercial Galicia;;;;;6.164.831,32;;3.000.000,00;;;
;;;;;;;22.009.092,91;;19.009.092,91;;;;;
;;;;;;;;;;;;;;
01.01.01.10 - MONEDA EXTRANJERA (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;1.782.314,42;;;;1.782.314,42;;;
;;;;;;;1.782.314,42;;0,00;;;;;
;;;;;;;;;;;;;;
01.01.01.11 - BANCO MACRO CTA CTE (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;;;51.415,63;;-51.415,63;;;
      43);;;02/01/26;Transfrencia entre cuentas;;;60.000,00;;;;8.584,37;;;
      127);;;19/01/26;Transfrencia entre cuentas;;;1.626.000,00;;;;1.634.584,37;;;
      144);;;20/01/26;Pago Prestamo Macro-Cuota 9;;;;;1.630.711,71;;3.872,66;;;
      205);;;31/01/26;Pagos: s/ O.Pago Nº6233 - BANCO MACRO CTA CTE;;;;;68.704,70;;-64.832,04;;;
      206);;;31/01/26;Gastos Bancarios - Banco Macro;;;;;10.236,44;;-75.068,48;;;
      257);;;06/02/26;Transfrencia entre cuentas;;;85.000,00;;;;9.931,52;;;
      326);;;25/02/26;Transfrencia entre cuentas;;;1.700.000,00;;;;1.709.931,52;;;
      329);;;25/02/26;Pago Prestamo Macro-Cuota 10;;;;;1.641.103,08;;68.828,44;;;
      350);;;28/02/26;Gastos Bancarios - Banco Macro;;;;;10.297,97;;58.530,47;;;
      352);;;28/02/26;Pagos: s/ O.Pago Nº6234 - BANCO MACRO CTA CTE;;;;;73.303,09;;-14.772,62;;;
      406);;;06/03/26;Transfrencia entre cuentas;;;20.000,00;;;;5.227,38;;;
      477);;;25/03/26;Transfrencia entre cuentas Santander a Banco Macro;;;1.700.000,00;;;;1.705.227,38;;;
      484);;;25/03/26;Pago Prestamo Macro-Cuota 11;;;;;1.616.863,80;;88.363,58;;;
      516);;;31/03/26;Gastos Bancarios - Banco Macro;;;;;9.719,24;;78.644,34;;;
      518);;;31/03/26;Pagos: s/ O.Pago Nº6235 - BANCO MACRO CTA CTE;;;;;74.964,07;;3.680,27;;;
      697);;;30/04/26;Gastos Bancarios - Banco Macro;;;;;439,23;;3.241,04;;;
      699);;;30/04/26;Pagos: s/ O.Pago Nº6236 - BANCO MACRO CTA CTE;;;;;72.782,37;;-69.541,33;;;
      736);;;04/05/26;Movimientos Banco Macro;;;;;616,43;;-70.157,76;;;
;;;;;;;5.191.000,00;;5.261.157,76;;;;;
;;;;;;;;;;;;;;
01.01.01.15 - BANCO FRANCES (A);;;;;;;;;;;;;;
Asiento Nº;;;Fecha;Concepto;;;Debe;;Haber;;Saldo;;;
      1);;;01/01/26;Automático: Asiento de Inicio;;;63.888,67;;;;63.888,67;;;
      44);;;02/01/26;Transfrencia entre cuentas;;;2.850.000,00;;;;2.913.888,67;;;
      54);;;02/01/26;Pago Cuota Nro 11 - Prestamo;;;;;714.299,40;;2.199.589,27;;;
      55);;;02/01/26;Pagos: s/ O.Pago Nº6216 - BANCO BBVA ARGENTINA;;;;;2.126.600,30;;72.988,97;;;
      56);;;02/01/26;Pagos: s/ O.Pago Nº6258 - BANCO BBVA ARGENTINA;;;;;6.774.327,69;;-6.701.338,72;;;
      57);;;02/01/26;Reversion Gastos Bancarios;;;6.774.327,69;;;;72.988,97;;;
      128);;;19/01/26;Transfrencia entre cuentas;;;50.000,00;;;;122.988,97;;;
      161);;;23/01/26;Transfrencia entre cuentas;;;3.000.000,00;;;;3.122.988,97;;;
      178);;;28/01/26;Pagos: s/ O.Pago Nº6217 - BANCO BBVA ARGENTINA;;;;;2.076.818,93;;1.046.170,04;;;
      181);;;29/01/26;Pago cuota Nro 12;;;;;738.704,60;;307.465,44;;;
      201);;;31/01/26;Gastos Bancarios Banco Frances;;;;;34.451,24;;273.014,20;;;
      202);;;31/01/26;Pagos: s/ O.Pago Nº6220 - BANCO BBVA ARGENTINA;;;;;77.668,96;;195.345,24;;;
      346);;;28/02/26;Gastos Bancarios Banco Frances;;;;;463,84;;194.881,40;;;
      347);;;28/02/26;Pagos: s/ O.Pago Nº6221 - BANCO BBVA ARGENTINA;;;;;75.232,54;;119.648,86;;;
      405);;;06/03/26;Transfrencia entre cuentas;;;2.900.000,00;;;;3.019.648,86;;;
      411);;;06/03/26;Pago cuota Nro 13;;;;;763.943,70;;2.255.705,16;;;
      412);;;06/03/26;Pagos: s/ O.Pago Nº6218 - BANCO BBVA ARGENTINA;;;;;2.080.904,53;;174.800,63;;;
      482);;;25/03/26;Extraccion de efectivo;;;;;1.000,00;;173.800,63;;;
      511);;;31/03/26;Gastos Bancarios Banco Frances;;;;;17.521,12;;156.279,51;;;
      512);;;31/03/26;Pagos: s/ O.Pago Nº6222 - BANCO BBVA ARGENTINA;;;;;74.340,00;;81.939,51;;;
      601);;;08/04/26;Pago cuota Nro 14;;;;;790.045,11;;-708.105,60;;;
      603);;;08/04/26;Transfrencias entre cuentas - Santander a Frances;;;2.950.000,00;;;;2.241.894,40;;;
      606);;;08/04/26;Pagos: s/ O.Pago Nº6219 - BANCO BBVA ARGENTINA;;;;;2.072.982,97;;168.911,43;;;
      617);;;10/04/26;Cobros: s/ Rec. Nº200010046 - OSPILM;;;3.345.629,91;;;;3.514.541,34;;;
      634);;;16/04/26;Cobros: s/ Rec. Nº200010047 - OSLERA;;;343.943,97;;;;3.858.485,31;;;
      643);;;20/04/26;Cobros: s/ Rec. Nº200010050 - OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELL;;;6.455.350,00;;;;10.313.835,31;;;
      645);;;20/04/26;Cobros: s/ Rec. Nº200010051 - APDIS;;;2.402.259,08;;;;12.716.094,39;;;
      646);;;20/04/26;Cobros: s/ Rec. Nº200010048 - OSPERYHRA;;;1.281.946,11;;;;13.998.040,50;;;
      647);;;20/04/26;Cobros: s/ Rec. Nº200010049 - OSPERYHRA;;;571.640,34;;;;14.569.680,84;;;
      648);;;21/04/26;Pagos: s/ O.Pago Nº6204 - RODRIGUEZ PILAR;;;;;1.961.410,00;;12.608.270,84;;;
      649);;;21/04/26;Pagos: s/ O.Pago Nº6205 - SANDJIAN & ASOCIADOS;;;;;3.835.700,00;;8.772.570,84;;;
      650);;;21/04/26;Recupero Saldo a Favor IIBB;;;11.433.219,28;;;;20.205.790,12;;;
      651);;;21/04/26;Pagos: s/ O.Pago Nº6203 - NUBI S.A.;;;;;92.375,01;;20.113.415,11;;;
      653);;;23/04/26;Cobros: s/ Rec. Nº200010054 - GEA S.A.;;;1.443.890,59;;;;21.557.305,70;;;
      654);;;23/04/26;Pagos: s/ O.Pago Nº6206 - DAURAT MERCEDES MARIA;;;;;6.050.000,00;;15.507.305,70;;;
      655);;;23/04/26;Pagos: s/ O.Pago Nº6207 - WNS & ASOCIADOS S.R.L.;;;;;2.256.287,00;;13.251.018,70;;;
      656);;;23/04/26;Pagos: s/ O.Pago Nº6208 - MINDER S A;;;;;59.584,21;;13.191.434,49;;;
      657);;;23/04/26;Pagos: s/ O.Pago Nº6209 - FABIOLA LANDIN;;;;;726.000,00;;12.465.434,49;;;
      659);;;23/04/26;Cobros: s/ Rec. Nº200010053 - SUTERH;;;2.282.531,14;;;;14.747.965,63;;;
      661);;;24/04/26;Cobros: s/ Rec. Nº200010055 - FATERYH;;;10.836.985,15;;;;25.584.950,78;;;
      662);;;24/04/26;Pagos: s/ O.Pago Nº6210 - MERCEDES FRATTINI;;;;;2.547.986,80;;23.036.963,98;;;
      664);;;24/04/26;Pagos: s/ O.Pago Nº6211 - MAGNALDI DIEGO FERNANDO;;;;;552.000,00;;22.484.963,98;;;
      665);;;24/04/26;Pagos: s/ O.Pago Nº6212 - SANTA FE COMERCIAL SOCIEDAD DE RESPONSAB;;;;;567.064,83;;21.917.899,15;;;
      670);;;28/04/26;Pagos: s/ O.Pago Nº6213 - ANDREACCHIO RODOLFO;;;;;900.000,00;;21.017.899,15;;;
      671);;;28/04/26;Pagos: s/ O.Pago Nº6214 - FABIOLA LANDIN;;;;;1.452.000,00;;19.565.899,15;;;
      672);;;28/04/26;Pagos: s/ O.Pago Nº6215 - GOLAWARE S.R.L.;;;;;734.349,00;;18.831.550,15;;;
      674);;;28/04/26;Cobros: s/ Rec. Nº200010059 - OSPERYHRA;;;6.360.662,97;;;;25.192.213,12;;;
      678);;;28/04/26;Transferencias entre cuentas - Frances a Galicia;;;;;21.650.000,00;;3.542.213,12;;;
      679);;;28/04/26;Extraccion de efectivo;;;;;3.000.000,00;;542.213,12;;;
      690);;;30/04/26;Gastos Bancarios Banco Frances;;;;;433.315,13;;108.897,99;;;
      691);;;30/04/26;Pagos: s/ O.Pago Nº6223 - BANCO BBVA ARGENTINA;;;;;79.059,00;;29.838,99;;;
      738);;;04/05/26;movimientos Banco Frances;;;;;75.489,50;;-45.650,51;;;
      768);;;06/05/26;Cobros: s/ Rec. Nº200010060 - MEDICAL SERVICIOS DE SALUD SRL;;;2.731.309,38;;;;2.685.658,87;;;
      771);;;07/05/26;Cobros: s/ Rec. Nº200010061 - OSBARA;;;41.109,75;;;;2.726.768,62;;;
      776);;;08/05/26;Cobros: s/ Rec. Nº200010062 - OSPERYH;;;10.631.632,14;;;;13.358.400,76;;;
      777);;;08/05/26;Cobros: s/ Rec. Nº200010063 - OSPERYH;;;2.661.880,44;;;;16.020.281,20;;;
      778);;;08/05/26;Pagos: s/ O.Pago Nº6264 - MANTESE JUAN JOSE;;;;;2.500.000,00;;13.520.281,20;;;
      779);;;08/05/26;Pagos: s/ O.Pago Nº6265 - KOUTOUDJIAN NATALIA INES;;;;;4.000.000,00;;9.520.281,20;;;
